Date,Location,Group,question_number,Question_text,Answer_Likert,Open-ended
11/1/2023,Santa Marta,1,1,1.     El movimiento de suelo contaminado es un factor de riesgo para introducir Foc-R4T a nuevas áreas,Muy de acuerdo,"El suelo es considerado el principal factor de diseminación para Foc R4T.   Se asocia al uso de maquinaria y herramientas agrícolas, calzado, trasplante de material vegetal,  transporte por aguas de escorrentía, entre otras"
11/1/2023,Santa Marta,1,2,2.     El movimiento de plantas contaminadas (material vegetal de siembra o desechos de cultivos) es un factor de riesgo para introducir Foc-R4T a nuevas áreas.,De acuerdo,Siempre y cuando hablemos de pequeños productores que hagan uso de material vegetal no procedente de tejido meristemático y que además proceda de viveros no certificados u otras fuentes.
11/1/2023,Santa Marta,1,3,3.     Plantas asintomáticas dentro del cultivo son un factor de riesgo como fuente de inóculo de Foc-R4T.,Muy de acuerdo,"Refiriéndonos a plantas sin presencia de síntomas o síntomas ligeramente visibles ( diferente de Asintomáticas), ya que en estas se ejecutan diferentes labores de cultivo e incluso pueden llegar a ser seleccionadas como material de propagación."
11/1/2023,Santa Marta,1,4,"4.     Movimiento de equipos agrícolas contaminados (herramientas, vehículos, equipos, etc.…) son factores que pueden diseminar Foc-R4T ",Muy de acuerdo,Pueden transportar inóculos del hongo a través de residuos de suelo y vegetales
11/1/2023,Santa Marta,1,5,5.     La presencia de pequeños focos de Foc-R4T en áreas remotas impide que sean identificados y contenidos,Muy de acuerdo,"Debido a que estas áreas pueden escapar del alcance del servicio de monitoreo y vigilancia por parte de los organismos de control,  ejemplo de ello son los cultivos de traspatio, entre otros."
11/1/2023,Santa Marta,1,6,"6.     Foc-R4T puede ser transportado por el agua, lo que lleva a la contaminación de las áreas aguas abajo",Muy de acuerdo,"El agua es una fuente altamente efectiva en la diseminación, puede transportar suelo y residuos vegetales, este factor de riesgo aumenta cuando la fuente de captación tiene presencia del inoculo y se distribuye a través del sistema de riego."
11/1/2023,Santa Marta,1,7,"7.     El movimiento de material vegetal infectado, como plántulas o cormos, por parte de los seres humanos puede propagar Foc-R4T",Muy de acuerdo,Asociado al transporte de inoculo.
11/1/2023,Santa Marta,1,8,8.     El comercio internacional de plantas y partes de plantas de banano y plátano puede facilitar la difusión a larga distancia de Foc-R4T,Ni de acuerdo ni en desacuerdo,Depende de las garantías de inocuidad por parte del proveedor
11/1/2023,Santa Marta,1,9,9.     Las regulaciones de cuarentena débiles o ineficaces pueden permitir la diseminación de Foc-R4T,Muy de acuerdo,Debido a que esto se encuentra asociado al incumplimiento de las medidas de Bioseguridad
11/1/2023,Santa Marta,1,10,10.     Ciertos insectos pueden contribuir a la transmisión de Foc-R4T,En desacuerdo,"Para el caso de foc R4T los insectos plagas pueden contribuir al desarrollo e intensificación de síntomas, sin embargo, se conoce muy poco acerca de su papel como agentes de diseminación."
11/1/2023,Santa Marta,1,11,"11.     La mala implementación de medidas de bioseguridad, la eliminación inadecuada de las plantas y el manejo deficiente de las plantaciones  pueden aumentar el riesgo de propagación de Foc-R4T.",Muy de acuerdo,"Se asocia a la perdida del control de la enfermad, aumento de las fuentes de inoculo y por ende la diseminación"
11/1/2023,Santa Marta,1,12,12.     El tráfico humano hacia y desde las regiones infectadas puede introducir inadvertidamente Foc-R4T a nuevas áreas.,De acuerdo,Siempre y cuando no se cuente con medidas de bioseguridad  o en su defecto estas existan y no sean aplicadas
11/1/2023,Santa Marta,1,13,13.     El monitoreo inadecuado puede retrasar la detección y futura contención del Foc-R4T,Muy de acuerdo,Debido a que la identificación temprana de la enfermedad ha mostrado ser almamente efectiva en la contención de focos
11/1/2023,Santa Marta,1,14,14.     Las propiedades químicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T - Muy en desacuerdo.,De acuerdo,Refiriéndose principalmente a Ph con tendencia a la acidez y bajos contenido de materia orgánica
11/1/2023,Santa Marta,1,15,15.     La biota del suelo son factores que afectan el desarrollo de epidemias de Foc-R4T ,Muy de acuerdo,Enfocada principalmente en una mayor presencia de microorganismos benéficos que contribuyan al control de enfermedades
11/1/2023,Santa Marta,1,16,16.     La temperatura es n factor que afectan el desarrollo de epidemias de Foc-R4T ,Ni de acuerdo ni en desacuerdo,La temperatura esta mas a asociada a la velocidad con que se puede desarrollar la enfermedad
11/1/2023,Santa Marta,1,17,17.     Las tormentas presentan un efecto de riesgo asociado a la dispersión de Foc-R4T ,De acuerdo,"Siempre y cuando se asocie a  transporte de suelo, agua o material vegetal contaminado"
11/1/2023,Santa Marta,1,18,18.     El viento presenta un efecto de riesgo asociado a la dispersión de Foc-R4T ,De acuerdo,"Siempre y cuando se asocie a  transporte de suelo, agua o material vegetal contaminado"
11/1/2023,Santa Marta,1,19,19.     La precipitación es un factor de riesgo en epidemias de Foc R4T,De acuerdo,"Siempre y cuando se asocie a  transporte de suelo, agua o material vegetal contaminado"
11/1/2023,Santa Marta,1,20,20.     Conexión de redes de drenaje entre lotes y cultivos de banano es un factor de riesgo en epidemias de  Foc R4T,De acuerdo,Puede darse diseminación a través del agua
11/1/2023,Santa Marta,1,21,21.      Otros hospederos son un factor de riesgo en epidemias Foc R4T ,De acuerdo,Ya que el factor de riesgo que estos representan puede ser ignorados y escapar a las medidas de control
11/1/2023,Santa Marta,1,22,22.     El cambio climático es un factor de riesgo en epidemias Foc R4T ,Ni de acuerdo ni en desacuerdo,"Va depender si el efecto es sequia o inundaciones, mientras que el uno contribuye el otro resta"
11/1/2023,Santa Marta,1,23,23.     Las propiedades físicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T,De acuerdo,Refriéndose principalmente a las propiedades hidrológicas del suelo.   Suelos con poca drenabilidad contribuyen al desarrollo de la enfermedad
11/1/2023,Santa Marta,2,1,1.     El movimiento de suelo contaminado es un factor de riesgo para introducir Foc-R4T a nuevas áreas,Muy de acuerdo,"Conocedores de que el suelo es el hábitat natural del patógeno y que este se puede movilizar por medio de maquinaria, material vegetal, botas, herramientas, animales consideramos que el suelo es un muy importante factor de riesgo para propagación de FOCT 4RT- además ell patógeno tiene persistencia de 30 años en el suelo"
11/1/2023,Santa Marta,2,2,2.     El movimiento de plantas contaminadas (material vegetal de siembra o desechos de cultivos) es un factor de riesgo para introducir Foc-R4T a nuevas áreas.,De acuerdo,"A nivel de grande productores/ exportadores el riesgo es bajo, toda vez que le material vegetal que se utiliza es material certificado o de la misma finca, mientras que en el caso de musáceas de pequeños productores/mercado local, el gran riesgo son los productores pequeños de pancoger 
Dado que intercambian material vegetal desconociendo el origen y sanidad de los mismos."
11/1/2023,Santa Marta,2,3,3.     Plantas asintomáticas dentro del cultivo son un factor de riesgo como fuente de inóculo de Foc-R4T.,Muy de acuerdo,"Una vez que hay una planta asintomática hay libre movimiento de trabajadores, material vegetal  y suelo dentro de las fincas siendo más probable la diseminación de la enfermedad por medio de suelo "
11/1/2023,Santa Marta,2,4,"4.     Movimiento de equipos agrícolas contaminados (herramientas, vehículos, equipos, etc.…) son factores que pueden diseminar Foc-R4T ",Muy de acuerdo,"Identificamos riesgo en el préstamo de maquinaria caso guadañas, u otros implementos sin su debido proceso de desinfección, el riesgo en el caso de plátano es muy crítico teniendo en cuenta que las herramientas pasan de un predio a otro sin control

En productores grandes a pesar de la reglamentación es muy difícil garantizar el protocolo de lavado de maquinaria al 100%, el control de desinfección no se garantiza, en los proyectos nuevos el riesgo es mayor; se desconoce la trazabilidad de maquinaria

Hay situaciones disimiles en el sector, hay comercializadoras que controlan su flota, es importante conocer la trazabilidad de maquinaria y procedencia en toda la zona y articular esa información"
11/1/2023,Santa Marta,2,5,5.     La presencia de pequeños focos de Foc-R4T en áreas remotas impide que sean identificados y contenidos,Muy de acuerdo,"Estamos de acuerdo y varios niveles a tener en cuenta, el primero teniendo en cuenta el desconocimiento de productores en zonas remotas, es un riesgo para la oportuna identificación de síntomas y las medidas de contención de dispersión de la enfermedad"
11/1/2023,Santa Marta,2,6,"6.     Foc-R4T puede ser transportado por el agua, lo que lleva a la contaminación de las áreas aguas abajo",Muy de acuerdo,"Por un lado, las fuentes hídricas tanto magdalena como la guajira están expuestas a contaminación por suelo o material vegetal y en la medida que se presenten inundaciones y represamientos hay riesgo de movimiento del patógeno a fincas vecinas, hay cuencas hídricas que se unen. Otro factor a tener en cuenta es la profundidad de la lámina de agua, dadas la zona el riego es necesario, por lo tanto, el riesgo de contaminación con agua es alto además no hay planes de acción al respecto."
11/1/2023,Santa Marta,2,7,"7.     El movimiento de material vegetal infectado, como plántulas o cormos, por parte de los seres humanos puede propagar Foc-R4T",Muy de acuerdo,"El mayor riesgo es el movimiento antrópico, existe el riesgo de traslado de material vegetal (suelo, material vegetal), en el caso de productores exportadores es más controlado, no obstante, se ha medido que se ha movilizado 26 tonelada de suelo (plántulas) entre las fincas. Es importante que en este riesgo se involucre el sector público y privado, para fortalecer los sistemas productivos con apoyo de entes gubernamentales y unificar el discurso, reglamentación y planes de contención "
11/1/2023,Santa Marta,2,8,8.     El comercio internacional de plantas y partes de plantas de banano y plátano puede facilitar la difusión a larga distancia de Foc-R4T,Ni de acuerdo ni en desacuerdo,"En relación a las fincas comerciales, el riesgo es mínimo toda vez que el material que se utiliza debe cumplir con los estándares de la ONPF DEL PAIS, mientras que, para el caso de las fincas de traspatio, por los pasos fronterizos oficiales consideramos que no hay problema, el riesgo mayor corresponde a trochas no oficiales,

El movimiento de estructuras es difícil, por medio de vestimenta, comercio de artesanía (caso de ventas de productos de importados hechos a base de material vegetal de musáceas) caso HOMECENTER.  En el caso de cultivo de pan coger el riesgo es bajo dado que usa material propio o de procedencia nacional, "
11/1/2023,Santa Marta,2,9,9.     Las regulaciones de cuarentena débiles o ineficaces pueden permitir la diseminación de Foc-R4T,Muy de acuerdo,"Es importante que la reglamentación este acorde al sistema productivo, (distancias de siembra); ejemplo la mala delimitación oficial de las zonas de exclusión A, B y C en términos de cuanta área debe abarcar cada zona; no es lo mismo un área A de 1 m a una de 10 m."
11/1/2023,Santa Marta,2,10,10.     Ciertos insectos pueden contribuir a la transmisión de Foc-R4T,Muy de acuerdo,"Hay unas zonas (Sevilla y Guachaca) donde el ataque de picudo y coleópteros es importante, en algunas fincas que vienen de palma-banano el riesgo también es alto"
11/1/2023,Santa Marta,2,11,"11.     La mala implementación de medidas de bioseguridad, la eliminación inadecuada de las plantas y el manejo deficiente de las plantaciones  pueden aumentar el riesgo de propagación de Foc-R4T.",Muy en desacuerdo,"Si no se aplican correctamente los protocolos de bioseguridad internamente, así exista una reglamentación oficial fuerte, el riesgo de diseminación es muy alto."
11/1/2023,Santa Marta,2,12,12.     El tráfico humano hacia y desde las regiones infectadas puede introducir inadvertidamente Foc-R4T a nuevas áreas.,Muy de acuerdo,"Si no se ha detectado oportunamente la enfermedad, el movimiento antrópico (humano) de herramientas, suelo y material vegetal es muy alto, también sí no se cumple con los protocolos de bioseguridad; las empresas que tienen control de personal lo mitigan pero los pequeños productores no se tiene certeza"
11/1/2023,Santa Marta,2,13,13.     El monitoreo inadecuado puede retrasar la detección y futura contención del Foc-R4T,Muy de acuerdo,"Personal capacitado en la detección de síntomas y temprana limita y es la medida más efectiva para evitar la diseminación de la enfermedad, monitoreo semanal y exhaustivo; reporte inmediato a las entidades oficiales. La detección oportuna permite iniciar los planes de contención de forma importante"
11/1/2023,Santa Marta,2,14,14.     Las propiedades químicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T - Muy en desacuerdo.,Ni de acuerdo ni en desacuerdo,"Según la literatura tenemos menor riesgo, sin embargo, en la zona con pH con tendencia a la salinidad tenemos presencia de la enfermedad, la literatura diría que no tenemos condiciones ideales para el establecimiento, pero lo tenemos. Quizá lo limita, pero no lo evita "
11/1/2023,Santa Marta,2,15,15.     La biota del suelo son factores que afectan el desarrollo de epidemias de Foc-R4T ,Muy de acuerdo,Suelos con balance de organismos y “saludables” tienen menor riesgo de permitir el establecimiento de la enfermedad en su fase más devastadora
11/1/2023,Santa Marta,2,16,16.     La temperatura es n factor que afectan el desarrollo de epidemias de Foc-R4T ,De acuerdo,"Según la literatura tenemos condiciones en la zona de temperatura ideales para el establecimiento del hongo, no se puede mirar como un único factor, sino la suma de muchos factores climáticos y de manejo agronómico "
11/1/2023,Santa Marta,2,17,17.     Las tormentas presentan un efecto de riesgo asociado a la dispersión de Foc-R4T ,De acuerdo,"El riesgo esta con material infectado no tratado adecuadamente puede favorecer el movimiento de esporas/material vegetal a zonas no afectadas; las tormentas traen eventos de alta precipitación, alta velocidad de viento que pueden favorecer la diseminación (riesgo bajo)"
11/1/2023,Santa Marta,2,18,18.     El viento presenta un efecto de riesgo asociado a la dispersión de Foc-R4T ,De acuerdo,Puede haber plantas en estado avanzados de severidad que permitan el movimiento por medio del aire/ si se aplica correctamente el protocolo de contención (encarpado y generación de vacío biológico el riesgo es bajo)
11/1/2023,Santa Marta,2,19,19.     La precipitación es un factor de riesgo en epidemias de Foc R4T,De acuerdo,"Toda vez que en plantación donde se desconozca la presencia de la enfermedad, si hay escorrentía hay movimiento de propágulos por canales o distritos de riego, también se eleva el nivel de los ríos, desbordamiento y aumento del nivel freático"
11/1/2023,Santa Marta,2,20,20.     Conexión de redes de drenaje entre lotes y cultivos de banano es un factor de riesgo en epidemias de  Foc R4T,Muy de acuerdo,"Hay productores que usan agua de drenaje como riego, el riesgo el latente si hay material vegetal en canales de drenaje, además los canales pasan por medio de la comunidad, fincas pequeñas y de pan coger lo cual es un riesgo para quien usa el agua contaminada"
11/1/2023,Santa Marta,2,21,21.      Otros hospederos son un factor de riesgo en epidemias Foc R4T ,Muy de acuerdo,La gran mayoría de malezas en la zona están reportadas como hospederos alternos 
11/1/2023,Santa Marta,2,22,22.     El cambio climático es un factor de riesgo en epidemias Foc R4T ,De acuerdo,"Depende de las consecuencias a nivel de clima local, en todo caso condiciones adversas para el cultivo (lluvia, sequia, baja temperatura, alta temperatura) pueden generar estados de mayor susceptibilidad de la enfermedad "
11/1/2023,Santa Marta,2,23,23.     Las propiedades físicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T,En desacuerdo,"Depende, suelos pesados limitan el movimiento de agua y pueden favorecer inundaciones, por lo contrario suelos arenosos se verían menos afectados,"
11/1/2023,Santa Marta,3,1,1.     El movimiento de suelo contaminado es un factor de riesgo para introducir Foc-R4T a nuevas áreas,Muy de acuerdo,"El movimiento de suelo es el principal vehiculo de transmisión de microorganismos de un área a otra, en su bilogia el hongo presenta caracteristicas saprofitas que degradan la materia orgánica. "
11/1/2023,Santa Marta,3,2,2.     El movimiento de plantas contaminadas (material vegetal de siembra o desechos de cultivos) es un factor de riesgo para introducir Foc-R4T a nuevas áreas.,Muy de acuerdo,"No se cuenta con sitios certificados para la obtención de semilla (La Guajira), lo que incentiva el moviemiento de material sin regulación en parte de la región. En el departamento del Magdalena sólo se cuenta con dos viveros certificados de endurecimiento de material vegetal que no abastecen la demanda de la región, y en la línea de plátano no se cuenta con los esquemas de producción (cámaras térmicas) de material certificado. En algunas ocasiones a nivel de la semilla de platano , requiere movilizarlo desde el interior del pais o en otras oportunidades surtir el proceso de importacion. Por lo tanto, la presentacion en que se vende la semilla representa un riesgo. Ademas, se evidencia limitaciones en protocolos e infraestructura para la disposiion final del material incautado por  las autoridades"
11/1/2023,Santa Marta,3,3,3.     Plantas asintomáticas dentro del cultivo son un factor de riesgo como fuente de inóculo de Foc-R4T.,Muy de acuerdo,Segun la epidemiologia de la enfermedad algunas plantas pueden presentar sintomas de forma tardia y se pueden utilizar como material de siembra.
11/1/2023,Santa Marta,3,4,"4.     Movimiento de equipos agrícolas contaminados (herramientas, vehículos, equipos, etc.…) son factores que pueden diseminar Foc-R4T ",Muy de acuerdo,"Una de las principales fuentes de contaminación de áreas nuevas son el uso de equipos y herramientas sin el debido proceso de descontaminación, se llevan particulas de suelo que puede llevar el hongo consigo. "
