"crop","survey_location","general_survey","question_in_english","question_in_spanish","question_number","expert_ID","expert_in","Add_parameters_spanish","Add_parameters_english","id_depto","numeric_answer","round_num_answer","answer_in_spanish","answer_in_english"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN1","La Guajira",NA,NA,"44","6","6","más de 15","More than 15"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN2","La Guajira",NA,NA,"44","4","4","5 a 9","5 to 9"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN2","Magdalena",NA,NA,"47","2","2","1 a 2","1 to 2"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN3","La Guajira",NA,NA,"44","3","3","3 a 5","3 to 5"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN4","Cesar",NA,NA,"20","3","3","3 a 5","3 to 5"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN4","La Guajira",NA,NA,"44","4","4","5 a 9","5 to 9"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN4","Magdalena",NA,NA,"47","6","6","más de 15","More than 15"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN5","Antioquia",NA,NA,"05","3","3","3 a 5","3 to 5"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN5","Magdalena",NA,NA,"47","3","3","3 a 5","3 to 5"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN6","Magdalena",NA,NA,"47","4","4","5 a 9","5 to 9"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN7","La Guajira",NA,NA,"44","5","5","10 a 15","10 to 15"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN7","Magdalena",NA,NA,"47","5","5","10 a 15","10 to 15"
"Banana","Santa Marta - Magdalena",TRUE,"How many years of experience do you have in each department?","¿Cuántos años de experiencia tienes en cada departamento? ",1,"NN8","Antioquia",NA,NA,"05","2","2","1 a 2","1 to 2"
