,Amazonas,Antioquia,Arauca,Atlántico,Bolívar,Boyacá,Caldas,Caquetá,Casanare,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Guainía,Guaviare,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Quindío,Risaralda,San Andrés y Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vaupés,Vichada,Venezuela,The Filipines,Haiti,Argentina,Peru,Germany,Belgium,China,Italy,Ukraine,Spain,Mexico,Costa Rica,Honduras,Brazil,Peru,Guatemala,Panama,Ecuador,Bolivia,Chile,USA
Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,0,"P, S, M","P, S",0,0,0,P,0,0,0,0,0,0,0,0,0,"S, P",0,0,0,S,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arauca,0,M,"M, P",0,0,P,0,0,P,0,0,0,0,0,0,P,0,0,0,P,0,"M, P",0,0,0,0,P,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlántico,0,S,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívar,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyacá,0,0,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldas,0,P,S,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caquetá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casanare,0,0,"P, S",0,0,0,0,0,"M, P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cauca,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,P,P,0,0,0,P,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,0,0,"P, S",0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,P,0,0,0,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cundinamarca,0,P,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,P,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guainía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,0,P,S,0,0,0,P,0,0,P,0,P,0,0,0,0,0,0,S,P,"P, S",0,0,P,P,0,P,0,"P, S","P, S",0,0,"P, M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Guajira,0,P,P,0,0,0,P,0,0,0,0,0,0,0,0,0,0,"M, S","M, P","P, S",0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,S,0,"M, P",S,0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta,0,0,"P, S",S,0,0,0,0,0,0,0,0,0,0,0,0,"S, P",0,0,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nariño,0,"P, M",0,0,0,0,"P, S",P,M,"P, S",0,0,0,S,0,0,"P, S",0,0,0,0,0,S,"P, S","P, S",0,0,0,P,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M, P, S",0,0,0
Norte de Santander,0,0,"M, P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M, P",0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putumayo,0,0,0,0,0,0,0,M,0,M,0,0,0,0,0,0,P,0,0,0,"P, S, M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quindío,0,0,S,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risaralda,0,0,S,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,P,P,0,0,0,0,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santander,0,0,"P, S",0,0,0,P,0,0,0,0,0,0,0,0,0,"S, P",0,0,0,"P, S",0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
