"","Amazonas","Antioquia","Arauca","Atlántico","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La.Guajira","Magdalena","Meta","Nariño","Norte.de.Santander","Putumayo","Quindío","Risaralda","San.Andrés.y.Providencia","Santander","Sucre","Tolima","Valle.del.Cauca","Vaupés","Vichada","Venezuela","Honduras","Costa.Rica","Rep..Dominicana","Ecuador"
"Amazonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Antioquia",0,2304786.02096855,0,0,800,0,456.111888111888,0,0,0,98879.9999999998,1800.7796101949,955839.999999999,0,0,0,0,40.1197604790419,0.31968031968032,3838.48124603124,16.5104074532696,0,0,0,1114.05394605395,0,0,800,0,0,0,0,NA,NA,NA,NA,NA
"Arauca",0,0,1231.50401836969,0,0,0,0,0,0.719280719280719,0,0,0,0,0,0,37973.3333333333,0,0,0,52390.5538584785,0,959.52023988006,0,0,0,0,1217080,0,0,0,0,34026.6666666667,NA,NA,NA,NA,NA
"Atlántico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Bolívar",0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Boyacá",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Caldas",0,0,0,0,0,0,609235.164835164,0,0,0.757097791798107,0,0,0,0,0,0,0,0,0,0,18.1614481985965,0,0,53.2554161203731,127320.450977594,0,0,0,728640,7145.44622425625,0,0,NA,NA,NA,NA,NA
"Caquetá",0,0,0,0,0,0,0,209280,0,0,0,0,0,0,0,0,128134.301538462,0,0,0,0,0,100266.666666667,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Casanare",0,0,0,0,0,0,0,0,1438.56143856144,0,0,0,0,0,0,0,128134.301538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cauca",0,0,0,0,0,0,0,0,0,1287.06624605678,0,0,0,0,0,0,0,0,0,0,108.96868919158,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cesar",0,0,0,0,0,0,0,0,0,0,98879.9999999998,0,0,0,0,0,0,40.1197604790419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Chocó",0,1152.39301048428,0,0,0,0,0,0,0,0,0,3601559.2203898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Córdoba",0,1152.39301048428,0,0,0,0,0,0,0,0,0,0,955839.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cundinamarca",0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Guainía",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Guaviare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37973.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Huila",0,1152.39301048428,0,0,0,0,456.111888111888,209280,0,0.757097791798107,0,0,0,0,0,0,4292499.10153846,0,0,0,0,0,100266.666666667,53.2554161203731,1114.05394605395,0,0,0,728640,0,0,0,NA,NA,NA,NA,NA
"La Guajira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32095.8083832335,0.31968031968032,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Magdalena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96287.4251497006,639.360639360639,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Meta",0,0,44.0872560275545,0,0,0,0,209280,0,0,0,0,0,640,0,37973.3333333333,341691.470769231,0,0,6793308.48364946,0,0,0,0,0,0,0,0,728640,0,0,34026.6666666667,NA,NA,NA,NA,NA
"Nariño",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.306798749926,0,100266.666666667,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Norte de Santander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47976011994003,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Putumayo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2083259626157,0,100266.666666667,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Quindío",0,0,0,0,0,0,107512.087912088,209280,0,0,0,0,0,0,0,0,1089141.56307692,0,0,0,54.4843445957899,0,100266.666666667,63906.4993444477,700262.480376766,0,0,0,0,94677.1624713955,0,0,NA,NA,NA,NA,NA
"Risaralda",0,0,0,0,0,0,175928.871128871,0,0,0,0,0,0,0,0,0,576604.356923076,0,0,0,19.8124889439235,0,0,28820.5781357313,1273204.50977594,0,0,0,728640,25009.061784897,0,0,NA,NA,NA,NA,NA
"San Andrés y Providencia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Santander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217080,0,0,0,0,0,NA,NA,NA,NA,NA
