"","Amazonas","Antioquia","Arauca","Atlántico","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La.Guajira","Magdalena","Meta","Nariño","Norte.de.Santander","Putumayo","Quindío","Risaralda","San.Andrés.y.Providencia","Santander","Sucre","Tolima","Valle.del.Cauca","Vaupés","Vichada","Venezuela","Honduras","Costa.Rica","Rep..Dominicana","Ecuador"
"Amazonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antioquia",0,2308243.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arauca",0,0,1141.10638297872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46770.0818926296,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlántico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolívar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boyacá",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldas",0,0,0,0,0,0,609844.4,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1111111111111,0,0,0,127447.771428571,0,0,0,0,10138.1818181818,0,0,0,0,0,0,0
"Caquetá",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112550.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casanare",0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,112550.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cauca",0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,146.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cesar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chocó",0,0,0,0,0,0,0,0,0,0,0,2882688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Córdoba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cundinamarca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guainía",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guaviare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3770438.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Guajira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magdalena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48240,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meta",0,0,40.8510638297873,0,0,0,0,0,0,0,0,0,0,0,0,0,300134.4,0,0,6064520.61874431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nariño",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norte de Santander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Putumayo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quindío",0,0,0,0,0,0,107619.6,0,0,0,0,0,0,0,0,0,1195848,0,0,0,51.3333333333333,0,0,60211.2000000011,700962.742857142,0,0,0,0,94031.636363636,0,0,0,0,0,0,0
"Risaralda",0,0,0,0,0,0,176104.8,0,0,0,0,0,0,0,0,0,633096,0,0,0,18.6666666666667,0,0,27154.0705882358,1274477.71428571,0,0,0,0,24838.5454545454,0,0,0,0,0,0,0
"San Andrés y Providencia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sucre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tolima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422064,0,0,0,1.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valle del Cauca",0,0,0,0,0,0,19567.2,0,0,144,0,0,0,0,0,0,0,0,0,0,3.11111111111111,0,0,7083.67058823542,127447.771428571,0,0,0,0,649350.545454546,0,0,0,0,0,0,0
"Vaupés",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vichada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,4.08510638297873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rep  Dominicana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
