"Departamento","demanda","Cultivo"
"Amazonas",144000,"Plantain"
"Antioquia",5770608.00000001,"Plantain"
"Arauca",1600,"Plantain"
"Atlántico",1600,"Plantain"
"Bolívar",1600,"Plantain"
"Boyacá",1600,"Plantain"
"Caldas",1304480,"Plantain"
"Caquetá",1046400,"Plantain"
"Casanare",1600,"Plantain"
"Cauca",1600,"Plantain"
"Cesar",296639.999999999,"Plantain"
"Chocó",3603360,"Plantain"
"Córdoba",1911680,"Plantain"
"Cundinamarca",1600,"Plantain"
"Guainía",1600,"Plantain"
"Guaviare",142400,"Plantain"
"Huila",8675760,"Plantain"
"La.Guajira",160800,"Plantain"
"Magdalena",1600,"Plantain"
"Meta",8566720,"Plantain"
"Nariño",1600,"Plantain"
"Norte.de.Santander",1600,"Plantain"
"Putumayo",752000,"Plantain"
"Quindío",125440.000000002,"Plantain"
"Risaralda",2787920,"Plantain"
"San.Andrés.y.Providencia",3200,"Plantain"
"Santander",2434160,"Plantain"
"Sucre",1600,"Plantain"
"Tolima",3643200,"Plantain"
"Valle.del.Cauca",1115200,"Plantain"
"Vaupés",1600,"Plantain"
"Vichada",127600,"Plantain"
