Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BANANO,717.00,"5,805.00",8.10,2.61,2.93
2007,BOYACA,BANANO,482.00,"3,778.50",7.84,1.70,1.97
2007,CALDAS,BANANO,486.30,"4,754.36",9.78,2.14,1.99
2007,CAUCA,BANANO,812.00,"4,069.40",5.01,1.83,3.31
2007,CESAR,BANANO,58.00,700.00,12.07,0.31,0.24
2007,CUNDINAMARCA,BANANO,"5,537.20","44,837.50",8.10,20.14,22.60
2007,HUILA,BANANO,950.00,"8,342.50",8.78,3.75,3.88
2007,META,BANANO,11.00,61.00,5.55,0.03,0.04
2007,NARIÑO,BANANO,"3,159.00","18,654.00",5.91,8.38,12.90
2007,NORTE DE SANTANDER,BANANO,"1,139.00","8,090.00",7.10,3.63,4.65
2007,PUTUMAYO,BANANO,0.00,0.00,0.00,0.00,0.00
2007,QUINDIO,BANANO,951.60,"19,886.30",20.90,8.93,3.88
2007,RISARALDA,BANANO,816.00,"12,891.00",15.80,5.79,3.33
2007,SANTANDER,BANANO,"1,365.00","12,080.00",8.85,5.43,5.57
2007,TOLIMA,BANANO,"2,382.00","19,036.00",7.99,8.55,9.72
2007,VALLE DEL CAUCA,BANANO,"5,630.30","59,593.30",10.58,26.77,22.98
2008,AMAZONAS,BANANO,129.00,453.80,3.52,0.21,0.55
2008,ANTIOQUIA,BANANO,897.00,"8,697.20",9.70,4.05,3.83
2008,BOYACA,BANANO,15.00,72.00,4.80,0.03,0.06
2008,CALDAS,BANANO,347.00,"3,169.00",9.13,1.48,1.48
2008,CAUCA,BANANO,944.00,"4,493.00",4.76,2.09,4.03
2008,CESAR,BANANO,59.00,755.00,12.80,0.35,0.25
2008,CHOCO,BANANO,275.00,"1,600.00",5.82,0.75,1.17
2008,CUNDINAMARCA,BANANO,"3,441.00","28,092.00",8.16,13.08,14.69
2008,HUILA,BANANO,"1,298.40","10,743.40",8.27,5.00,5.54
2008,NARIÑO,BANANO,"3,249.00","18,539.50",5.71,8.63,13.87
2008,NORTE DE SANTANDER,BANANO,"1,146.00","8,142.00",7.10,3.79,4.89
2008,PUTUMAYO,BANANO,14.00,56.00,4.00,0.03,0.06
2008,QUINDIO,BANANO,983.40,"16,674.20",16.96,7.76,4.20
2008,RISARALDA,BANANO,856.00,"14,176.00",16.56,6.60,3.66
2008,SANTANDER,BANANO,"1,791.00","22,226.00",12.41,10.35,7.65
2008,TOLIMA,BANANO,"2,072.00","17,745.00",8.56,8.26,8.85
2008,VALLE DEL CAUCA,BANANO,"5,875.50","58,999.17",10.04,27.47,25.09
2008,VICHADA,BANANO,24.00,128.00,5.33,0.06,0.10
2009,ANTIOQUIA,BANANO,"1,024.00","10,952.50",10.70,5.06,4.77
2009,CALDAS,BANANO,421.00,"5,254.00",12.48,2.43,1.96
2009,CASANARE,BANANO,9.00,108.00,12.00,0.05,0.04
2009,CAUCA,BANANO,742.00,"4,438.75",5.98,2.05,3.46
2009,CHOCO,BANANO,314.00,"1,856.00",5.91,0.86,1.46
