Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,PLATANO,895.00,"2,956.00",3.30,0.10,0.25
2007,ANTIOQUIA,PLATANO,"41,037.72","248,220.40",6.05,8.69,11.37
2007,ARAUCA,PLATANO,"11,444.00","94,270.00",8.24,3.30,3.17
2007,ATLANTICO,PLATANO,37.00,134.50,3.64,0.00,0.01
2007,BOLIVAR,PLATANO,"3,100.00","21,122.00",6.81,0.74,0.86
2007,BOYACA,PLATANO,"4,631.00","33,098.00",7.15,1.16,1.28
2007,CALDAS,PLATANO,"15,757.00","167,359.00",10.62,5.86,4.37
2007,CAQUETA,PLATANO,"12,447.00","80,132.00",6.44,2.81,3.45
2007,CASANARE,PLATANO,"2,336.00","25,470.00",10.90,0.89,0.65
2007,CAUCA,PLATANO,"10,693.52","96,044.75",8.98,3.36,2.96
2007,CESAR,PLATANO,"2,971.00","17,051.00",5.74,0.60,0.82
2007,CHOCO,PLATANO,"16,753.00","101,524.30",6.06,3.55,4.64
2007,CORDOBA,PLATANO,"25,231.00","239,883.00",9.51,8.40,6.99
2007,CUNDINAMARCA,PLATANO,"10,167.83","76,050.57",7.48,2.66,2.82
2007,GUAINIA,PLATANO,130.00,975.00,7.50,0.03,0.04
2007,GUAVIARE,PLATANO,"2,594.00","18,726.50",7.22,0.66,0.72
2007,HUILA,PLATANO,"26,117.50","86,522.29",3.31,3.03,7.24
2007,LA GUAJIRA,PLATANO,"2,024.00","10,050.00",4.97,0.35,0.56
2007,MAGDALENA,PLATANO,"1,850.00","12,391.00",6.70,0.43,0.51
2007,META,PLATANO,"16,828.00","251,619.00",14.95,8.81,4.66
2007,NARIÑO,PLATANO,"22,306.00","142,930.70",6.41,5.00,6.18
2007,NORTE DE SANTANDER,PLATANO,"13,646.50","84,474.60",6.19,2.96,3.78
2007,PUTUMAYO,PLATANO,"5,727.00","38,067.00",6.65,1.33,1.59
2007,QUINDIO,PLATANO,"34,622.40","334,217.40",9.65,11.70,9.59
2007,RISARALDA,PLATANO,"21,043.00","167,452.80",7.96,5.86,5.83
2007,SANTANDER,PLATANO,"11,215.00","107,415.40",9.58,3.76,3.11
2007,SUCRE,PLATANO,"1,370.70","8,022.35",5.85,0.28,0.38
2007,TOLIMA,PLATANO,"27,921.00","235,151.00",8.42,8.23,7.74
2007,VALLE DEL CAUCA,PLATANO,"15,621.65","152,991.40",9.79,5.36,4.33
2007,VAUPES,PLATANO,113.00,676.00,5.98,0.02,0.03
2007,VICHADA,PLATANO,265.00,"1,090.00",4.11,0.04,0.07
2008,AMAZONAS,PLATANO,"1,203.00","4,017.00",3.34,0.15,0.35
2008,ANTIOQUIA,PLATANO,"39,944.59","247,931.60",6.21,9.54,11.75
2008,ARAUCA,PLATANO,"15,007.00","137,622.00",9.17,5.30,4.41
2008,ATLANTICO,PLATANO,52.50,324.00,6.17,0.01,0.02
2008,BOLIVAR,PLATANO,"3,223.00","22,084.00",6.85,0.85,0.95
2008,BOYACA,PLATANO,"4,098.40","30,380.34",7.41,1.17,1.21
2008,CALDAS,PLATANO,"15,705.00","170,035.60",10.83,6.55,4.62
2008,CAQUETA,PLATANO,"12,957.00","84,493.00",6.52,3.25,3.81
2008,CASANARE,PLATANO,"1,567.00","17,605.60",11.24,0.68,0.46
2008,CAUCA,PLATANO,"9,255.46","71,280.70",7.70,2.74,2.72
2008,CESAR,PLATANO,"3,145.00","17,814.00",5.66,0.69,0.93
2008,CHOCO,PLATANO,"13,497.00","78,407.50",5.81,3.02,3.97
2008,CORDOBA,PLATANO,"17,416.00","127,729.00",7.33,4.92,5.12
2008,CUNDINAMARCA,PLATANO,"7,463.00","60,570.50",8.12,2.33,2.20
2008,GUAINIA,PLATANO,150.00,"1,125.00",7.50,0.04,0.04
2008,GUAVIARE,PLATANO,"2,220.00","22,150.00",9.98,0.85,0.65
2008,HUILA,PLATANO,"25,685.50","82,614.85",3.22,3.18,7.55
2008,LA GUAJIRA,PLATANO,"1,566.00","7,504.18",4.79,0.29,0.46
2008,MAGDALENA,PLATANO,"2,063.00","14,262.00",6.91,0.55,0.61
2008,META,PLATANO,"17,644.00","273,737.00",15.51,10.54,5.19
2008,NARIÑO,PLATANO,"22,466.80","134,369.00",5.98,5.17,6.61
2008,NORTE DE SANTANDER,PLATANO,"13,473.00","85,154.00",6.32,3.28,3.96
2008,PUTUMAYO,PLATANO,"5,878.00","40,887.00",6.96,1.57,1.73
2008,QUINDIO,PLATANO,"34,272.30","316,021.40",9.22,12.17,10.08
2008,RISARALDA,PLATANO,"18,678.20","144,026.30",7.71,5.54,5.49
2008,SANTANDER,PLATANO,"10,714.25","100,211.10",9.35,3.86,3.15
2008,SUCRE,PLATANO,"1,090.00","5,873.00",5.39,0.23,0.32
2008,TOLIMA,PLATANO,"23,035.00","162,388.00",7.05,6.25,6.78
2008,VALLE DEL CAUCA,PLATANO,"15,959.00","134,041.96",8.40,5.16,4.69
2008,VAUPES,PLATANO,100.00,602.00,6.02,0.02,0.03
2008,VICHADA,PLATANO,463.00,"2,267.00",4.90,0.09,0.14
2009,AMAZONAS,PLATANO,0.00,0.00,0.00,0.00,0.00
2009,ANTIOQUIA,PLATANO,"40,621.80","247,125.40",6.08,9.49,12.22
2009,ARAUCA,PLATANO,"17,830.00","217,241.00",12.18,8.34,5.36
2009,ATLANTICO,PLATANO,55.67,314.67,5.65,0.01,0.02
2009,BOLIVAR,PLATANO,"3,954.00","27,355.00",6.92,1.05,1.19
2009,BOYACA,PLATANO,"4,000.20","31,155.55",7.79,1.20,1.20
2009,CALDAS,PLATANO,"16,275.00","189,350.40",11.63,7.27,4.90
2009,CAQUETA,PLATANO,"12,915.00","80,266.00",6.21,3.08,3.89
2009,CASANARE,PLATANO,"2,017.00","22,307.90",11.06,0.86,0.61
2009,CAUCA,PLATANO,"8,669.80","55,306.85",6.38,2.12,2.61
2009,CESAR,PLATANO,"2,512.00","14,005.00",5.58,0.54,0.76
2009,CHOCO,PLATANO,"14,930.30","88,100.43",5.90,3.38,4.49
2009,CORDOBA,PLATANO,"17,787.00","137,860.00",7.75,5.29,5.35
2009,CUNDINAMARCA,PLATANO,"6,857.90","42,101.60",6.14,1.62,2.06
2009,GUAINIA,PLATANO,180.00,"1,687.50",9.38,0.06,0.05
2009,GUAVIARE,PLATANO,"2,461.00","19,317.00",7.85,0.74,0.74
2009,HUILA,PLATANO,"25,581.10","81,351.42",3.18,3.12,7.70
2009,LA GUAJIRA,PLATANO,"1,098.00","5,680.00",5.17,0.22,0.33
2009,MAGDALENA,PLATANO,"2,257.00","17,301.50",7.67,0.66,0.68
2009,META,PLATANO,"14,471.00","215,076.00",14.86,8.26,4.35
2009,NARIÑO,PLATANO,"15,834.75","88,661.75",5.60,3.40,4.76
2009,NORTE DE SANTANDER,PLATANO,"13,478.00","85,418.80",6.34,3.28,4.05
2009,PUTUMAYO,PLATANO,"5,130.00","37,173.00",7.25,1.43,1.54
2009,QUINDIO,PLATANO,"34,132.39","323,204.10",9.47,12.41,10.27
2009,RISARALDA,PLATANO,"20,553.00","167,219.50",8.14,6.42,6.18
2009,SANTANDER,PLATANO,"10,109.00","93,772.50",9.28,3.60,3.04
2009,SUCRE,PLATANO,"1,242.70","6,886.75",5.54,0.26,0.37
2009,TOLIMA,PLATANO,"16,977.50","149,532.12",8.81,5.74,5.11
2009,VALLE DEL CAUCA,PLATANO,"20,156.00","158,177.78",7.85,6.07,6.06
2009,VAUPES,PLATANO,4.00,25.00,6.25,0.00,0.00
2009,VICHADA,PLATANO,295.00,"1,575.00",5.34,0.06,0.09
2010,AMAZONAS,PLATANO,190.00,670.00,3.53,0.02,0.05
2010,ANTIOQUIA,PLATANO,"41,573.42","251,972.24",6.06,8.91,11.82
2010,ARAUCA,PLATANO,"22,026.00","298,967.00",13.57,10.57,6.26
2010,ATLANTICO,PLATANO,78.67,401.67,5.11,0.01,0.02
2010,BOLIVAR,PLATANO,"3,827.00","29,924.00",7.82,1.06,1.09
2010,BOYACA,PLATANO,"4,521.00","31,944.90",7.07,1.13,1.29
2010,CALDAS,PLATANO,"19,241.70","240,978.25",12.52,8.52,5.47
2010,CAQUETA,PLATANO,"11,897.00","73,422.00",6.17,2.60,3.38
2010,CASANARE,PLATANO,"2,453.50","28,421.50",11.58,1.00,0.70
2010,CAUCA,PLATANO,"11,406.60","77,578.75",6.80,2.74,3.24
2010,CESAR,PLATANO,"2,945.00","16,552.00",5.62,0.59,0.84
2010,CHOCO,PLATANO,"10,305.00","60,932.60",5.91,2.15,2.93
2010,CORDOBA,PLATANO,"19,978.00","148,132.40",7.41,5.24,5.68
2010,CUNDINAMARCA,PLATANO,"7,002.01","47,020.73",6.72,1.66,1.99
2010,GUAINIA,PLATANO,223.00,"1,935.64",8.68,0.07,0.06
2010,GUAVIARE,PLATANO,"4,121.00","28,514.00",6.92,1.01,1.17
2010,HUILA,PLATANO,"26,123.50","86,046.24",3.29,3.04,7.43
2010,LA GUAJIRA,PLATANO,"1,153.00","6,114.00",5.30,0.22,0.33
2010,MAGDALENA,PLATANO,"2,588.00","21,786.40",8.42,0.77,0.74
2010,META,PLATANO,"14,087.00","211,716.00",15.03,7.49,4.00
2010,NARIÑO,PLATANO,"22,075.00","120,904.50",5.48,4.27,6.28
2010,NORTE DE SANTANDER,PLATANO,"13,704.80","83,486.30",6.09,2.95,3.90
2010,PUTUMAYO,PLATANO,"5,564.00","41,232.00",7.41,1.46,1.58
2010,QUINDIO,PLATANO,"32,965.79","303,472.11",9.21,10.73,9.37
2010,RISARALDA,PLATANO,"20,340.00","168,333.20",8.28,5.95,5.78
2010,SANTANDER,PLATANO,"10,871.60","102,078.50",9.39,3.61,3.09
2010,SUCRE,PLATANO,"1,205.45","6,711.93",5.57,0.24,0.34
2010,TOLIMA,PLATANO,"17,522.00","153,717.71",8.77,5.43,4.98
2010,VALLE DEL CAUCA,PLATANO,"21,428.00","183,770.61",8.58,6.50,6.09
