Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,PLATANO EXPORTACION,"14,785.00","112,014.00",7.58,100.00,100.00
2008,ANTIOQUIA,PLATANO EXPORTACION,"15,598.00","115,970.00",7.43,92.58,94.37
2008,CHOCO,PLATANO EXPORTACION,930.00,"9,300.00",10.00,7.42,5.63
2009,ANTIOQUIA,PLATANO EXPORTACION,"15,155.64","114,820.40",7.58,86.72,91.85
2009,CALDAS,PLATANO EXPORTACION,356.00,"7,176.00",20.16,5.42,2.16
2009,CHOCO,PLATANO EXPORTACION,935.00,"9,350.00",10.00,7.06,5.67
2009,RISARALDA,PLATANO EXPORTACION,53.00,"1,060.00",20.00,0.80,0.32
2010,ANTIOQUIA,PLATANO EXPORTACION,"15,240.39","116,316.55",7.63,81.92,91.60
2010,CALDAS,PLATANO EXPORTACION,"1,037.00","21,497.00",20.73,15.14,6.23
2010,CHOCO,PLATANO EXPORTACION,305.00,"3,050.00",10.00,2.15,1.83
2010,RISARALDA,PLATANO EXPORTACION,56.00,"1,120.00",20.00,0.79,0.34
2011,ANTIOQUIA,PLATANO EXPORTACION,"15,845.26","118,730.62",7.49,84.00,87.67
2011,CALDAS,PLATANO EXPORTACION,"1,003.80","10,365.80",10.33,7.33,5.55
2011,CHOCO,PLATANO EXPORTACION,"1,225.00","12,250.00",10.00,8.67,6.78
2012,ANTIOQUIA,PLATANO EXPORTACION,"15,626.26","116,350.62",7.45,87.49,94.63
2012,CALDAS,PLATANO EXPORTACION,887.00,"16,641.00",18.76,12.51,5.37
2013,ANTIOQUIA,PLATANO EXPORTACION,"15,153.74","113,806.00",7.51,86.44,94.09
2013,CALDAS,PLATANO EXPORTACION,952.00,"17,851.00",18.75,13.56,5.91
2014,ANTIOQUIA,PLATANO EXPORTACION,"12,274.53","92,182.86",7.51,86.44,94.09
2014,CALDAS,PLATANO EXPORTACION,771.12,"14,459.31",18.75,13.56,5.91
2015,ANTIOQUIA,PLATANO EXPORTACION,"14,082.27","114,696.30",8.14,100.00,100.00
2016,ANTIOQUIA,PLATANO EXPORTACION,"14,786.38","107,226.32",7.25,100.00,100.00
2017,ANTIOQUIA,PLATANO EXPORTACION,"13,178.03","113,802.30",8.64,100.00,100.00
2018,ANTIOQUIA,PLATANO EXPORTACION,"13,210.74","115,357.03",8.73,100.00,100.00
2019,ANTIOQUIA,PLATANO EXPORTACION,"1,585.00","15,756.50",9.94,11.73,19.48
2019,CHOCO,PLATANO EXPORTACION,"6,551.00","118,520.00",18.09,88.27,80.52
2020,ANTIOQUIA,PLATANO EXPORTACION,"1,016.00","8,286.00",8.16,4.73,8.35
2020,CAUCA,PLATANO EXPORTACION,0.00,0.00,0.00,0.00,0.00
2020,CHOCO,PLATANO EXPORTACION,"11,155.00","166,820.00",14.95,95.27,91.65
2021,ANTIOQUIA,PLATANO EXPORTACION,"1,021.00","8,084.96",7.92,4.84,8.11
2021,CHOCO,PLATANO EXPORTACION,"11,567.00","158,952.40",13.74,95.16,91.89
2022,ANTIOQUIA,PLATANO EXPORTACION,998.00,"7,890.40",7.91,4.22,6.80
2022,CHOCO,PLATANO EXPORTACION,"13,672.00","179,154.40",13.10,95.78,93.20
