"","number","Category","trans_answer","number_to_category"
"1",1,"0","0",1
"2",1,"1 a 2","1 to 2",2
"3",1,"3 a 5","3 to 5",3
"4",1,"5 a 9","5 to 9",4
"5",1,"10 a 15","10 to 15",5
"6",1,"más de15","More than 15",6
"7",2,"Fitopatología","Plant Pathology",1
"8",2,"Entomología","Entomology",2
"9",2,"MIP","IPM (Integrated Pest Management)",3
"10",2,"Sistemas de semillas","Seed Systems",4
"11",2,"Agronomía","Agronomy",5
"12",2,"Horticultura","Horticulture",6
"13",2,"Economía","Economics",7
"14",2,"Ciencias sociales","Social Sciences",8
"15",2,"Extensión agrícola","Agricultural Extension",9
"16",2,"Gestión de operaciones agrícolas/consultores de cultivos","Agricultural Operations Management/Crop Consultants",10
"17",2,"Investigación","Research",11
"18",2,"Productor","Producer",12
"19",2,"otros","Others",13
"20",3,"públicas","Public",1
"21",3,"privadas","Private",2
"22",4,"Sin educación formal","No Formal Education",1
"23",4,"Educación primaria","Primary Education",2
"24",4,"Educación secundaria","Secondary Education",3
"25",4,"Licenciatura","Bachelor's Degree",4
"26",4,"Maestría","Master's Degree",5
"27",4,"Doctorado (Ph.D., Ed.D., etc.)","Doctorate",6
"28",5,"Moko o Madurabiche","Moko or Madurabiche",1
"29",5,"Sigatoka Negra","Black Sigatoka",2
"30",5,"Enfermedad del Mosaico del Banano","Banana Mosaic Disease",3
"31",5,"Sigatoka Amarilla","Yellow Sigatoka",4
"32",5,"Elefantiasis","Elephantiasis",5
"33",5,"Fusarium","Fusarium",6
"34",5,"Picudo Negro","Black Weevil",7
"35",5,"Cochinilla","Scale Insect",8
"36",5,"Arañita Roja","Red Spider Mite",9
"37",5,"Escarabajo Cicatrizante","Scarab Beetle",10
"38",5,"Nematodos","Nematodes",11
"39",5,"Moscas Blancas","Whiteflies",12
"40",5,"No estoy seguro","Not Sure",13
"41",6,"Sin conocimiento","No Knowledge",1
"42",6,"Muy bajo conocimiento","Very Low Knowledge",2
"43",6,"Bajo conocimiento","Low Knowledge",3
"44",6,"Moderado conocimiento","Moderate Knowledge",4
"45",6,"Alto conocimiento","High Knowledge",5
"46",6,"Muy alto conocimiento","Very High Knowledge",6
"47",6,"No estoy seguro","Not Sure",7
"48",7,"Extremadamente improbable","Extremely Unlikely",1
"49",7,"Muy improbable","Very Unlikely",2
"50",7,"Poco probable","Unlikely",3
"51",7,"Algo improbable","Somewhat Unlikely",4
"52",7,"Neutral","Neutral",5
"53",7,"Algo probable","Somewhat Likely",6
"54",7,"Probable","Likely",7
"55",7,"Muy probable","Very Likely",8
"56",7,"Extremadamente probable","Extremely Likely",9
"57",7,"No estoy seguro","Not Sure",10
"58",8,"No eficaz","Not Effective",1
"59",8,"Poco eficaz","Slightly Effective",2
"60",8,"Moderadamente eficaz","Moderately Effective",3
"61",8,"Muy eficaz","Very Effective",4
"62",8,"Extremadamente eficaz","Extremely Effective",5
"63",8,"No estoy seguro","Not Sure",6
"64",9,"Sin capacitación o información disponible","No Training or Information Available",1
"65",9,"Deficiente","Poor",2
"66",9,"Regular","Fair",3
"67",9,"Adecuado","Adequate",4
"68",9,"Bueno","Good",5
"69",9,"Excelente","Excellent",6
"70",9,"Inseguro","Unsure",7
"71",11,"10 a 0","10 to 0",1
"72",11,"9 a 1","9 to 1",2
"73",11,"8 a 2","8 to 2",3
"74",11,"7 a 3","7 to 3",4
"75",11,"6 a 4","6 to 4",5
"76",11,"5 a 5","5 to 5",6
"77",11,"4 a 6","4 to 6",7
"78",11,"3 a 7","3 to 7",8
"79",11,"2 a 8","2 to 8",9
"80",11,"1 a 9","1 to 9",10
"81",11,"0 a 10","0 to 10",11
"82",13,"Cada 1 o 2 ciclos","Every 1 or 2 cycles",1
"83",13,"Cada 3 a 4 ciclos","Every 3 to 4 cycles",2
"84",13,"Cada 5 a 6 ciclos","Every 5 to 6 cycles",3
"85",13,"Cada 7 o más ciclos","Every 7 or more cycles",4
"86",13,"No estoy seguro","Not Sure",5
"87",14,"Inspección y pruebas","Inspection and Testing",1
"88",14,"Tratamiento y desinfección","Treatment and Disinfection",2
"89",14,"Cuarentena y aislamiento","Quarantine and Isolation",3
"90",14,"Condiciones de almacenamiento","Storage Conditions",4
"91",14,"Mantenimiento de registros","Record Keeping",5
"92",14,"Capacitación y concientización","Training and Awareness",6
"93",14,"Cumplimiento de regulaciones","Compliance with Regulations",7
"94",14,"Participación comunitaria","Community Involvement",8
"95",14,"Consulta con expertos","Consultation with Experts",9
"96",14,"Monitoreo y presentación de informes","Monitoring and Reporting",10
"97",14,"Ninguno","None",11
"98",14,"Inseguro","Unsure",12
"99",15,"Control Químico (Pesticidas, Fungicidas)","Chemical Control",1
"100",15,"Control Biológico (Insectos Beneficiosos, Controles Microbianos)","Biological Control",2
"101",15,"Control Cultural (Rotación de Cultivos, Saneamiento)","Cultural Control",3
"102",15,"Control Físico (Trampas, Barreras)","Physical Control",4
"103",15,"Manejo Integrado de Plagas y Enfermedades","Integrated Pest and Disease Management",5
"104",15,"Medidas de Bioseguridad (Cuarentena, Desinfección)","Biosecurity Measures",6
"105",15,"Monitoreo y Reporte","Monitoring and Reporting",7
"106",15,"Educación y Capacitación","Education and Training",8
"107",15,"Cumplimiento Normativo","Regulatory Compliance",9
"108",15,"Participación Comunitaria","Community Participation",10
"109",15,"Inseguro","Unsure",11
"110",16,"0%","0%",1
"111",16,"1%-10%","1%-10%",2
"112",16,"11%-20%","11%-20%",3
"113",16,"21%-30%","21%-30%",4
"114",16,"31%-40%","31%-40%",5
"115",16,"41%-50%","41%-50%",6
"116",16,"51%-60%","51%-60%",7
"117",16,"61%-70%","61%-70%",8
"118",16,"71%-80%","71%-80%",9
"119",16,"81%-90%","81%-90%",10
"120",16,"91%-100%","91%-100%",11
"121",16,"No seguro","Not Sure",12
"122",17,"0%","0%",1
"123",17,"1%-10%","1%-10%",2
"124",17,"11%-20%","11%-20%",3
"125",17,"21%-30%","21%-30%",4
"126",17,"31%-40%","31%-40%",5
"127",17,"41%-50%","41%-50%",6
"128",17,"51%-60%","51%-60%",7
"129",17,"61%-70%","61%-70%",8
"130",17,"71%-80%","71%-80%",9
"131",17,"81%-90%","81%-90%",10
"132",17,"91%-100%","91%-100%",11
"133",17,"No seguro","Not Sure",12
"134",18,"0%","0%",1
"135",18,"1%-10%","1%-10%",2
"136",18,"11%-20%","11%-20%",3
"137",18,"21%-30%","21%-30%",4
"138",18,"31%-40%","31%-40%",5
"139",18,"41%-50%","41%-50%",6
"140",18,"51%-60%","51%-60%",7
"141",18,"61%-70%","61%-70%",8
"142",18,"71%-80%","71%-80%",9
"143",18,"81%-90%","81%-90%",10
"144",18,"91%-100%","91%-100%",11
"145",18,"No seguro","Not Sure",12
"146",19,"0%","0%",1
"147",19,"1%-10%","1%-10%",2
"148",19,"11%-20%","11%-20%",3
"149",19,"21%-30%","21%-30%",4
"150",19,"31%-40%","31%-40%",5
"151",19,"41%-50%","41%-50%",6
"152",19,"51%-60%","51%-60%",7
"153",19,"61%-70%","61%-70%",8
"154",19,"71%-80%","71%-80%",9
