Crop,Expert_in,Integrated Pest and Disease Management,Chemical Control,Community Participation,Monitoring and Reporting,Cultural Control,Physical Control,Regulatory Compliance,Education and Training,Biosecurity Measures,Biological Control
Banana,Antioquia,0.96,1,0.62,0.96,0.74,0.92,1,1,0.96,0.96
Banana,Caldas,0,1,0,0,1,0,0,0,0,1
Banana,Cesar,0.5,0.5,0,0,0,0,0,0,1,0.5
Banana,Chocó,1,1,0,0,0.6,0.4,0,0,0.4,0
Banana,Córdoba,0,1,0,0,1,0,0,0,0,0
Banana,Huila,0,1,0,0,1,0,0,0,0,1
Banana,La Guajira,1,0.764705882,0.382352941,0.588235294,0.647058824,0.352941176,0.470588235,0.647058824,0.823529412,0.676470588
Banana,Magdalena,0.85,0.825,0.45,0.6,0.4,0.4,0.55,0.55,0.85,0.775
Banana,Quindío,0,1,0,0,1,0,0,0,0,1
Banana,Risaralda,0,1,0,0,1,0,0,0,0,1
Plantain,Antioquia,1,0.75,0,1,1,1,1,1,1,1
Plantain,Arauca,0,1,0,0,0,0,0,0,0,0
Plantain,Atlántico,0,1,0,0,0,0,0,0,0,0
Plantain,Bolívar,0,1,0,0,0,0,0,0,0,0
Plantain,Caldas,0.84375,0.90625,0,0,0.0625,0.4375,0,0.34375,0,0.34375
Plantain,Casanare,0,1,0,0,0,0,0,0,0,0
Plantain,Córdoba,0,1,0,0,0,0,0,0,0,0
Plantain,Huila,0,1,0,0,0,0,0,0,0,0
Plantain,La Guajira,0.833333333,1,0.166666667,0.416666667,0.166666667,0.25,0,0.25,0.416666667,0.416666667
Plantain,Magdalena,0.7,1,0,0.3,0,0.6,0,0.3,0.3,0.3
Plantain,Meta,0.583333333,1,0,0.4375,0.791666667,0.3125,0.125,0.520833333,0.375,0.520833333
Plantain,Norte De Santander,1,1,0,0,0,0,0,0,0,0
Plantain,Quindío,0.814814815,0.925925926,0,0.148148148,0.222222222,0.296296296,0,0.444444444,0.148148148,0.518518519
Plantain,Risaralda,0.861111111,0.916666667,0,0.055555556,0.25,0.222222222,0,0.305555556,0.055555556,0.583333333
Plantain,Santander,0,1,0,0,0,0,0,0,0,0
Plantain,Sucre,0,1,0,0,0,0,0,0,0,0
Plantain,Tolima,0,1,0,0,0,0,0,0,0,0
