"EKE.expert.in","id_depto","average_weighted","cat_weighted","percentage_informal"
"Antioquia","05",5.13793103448276,"6 to 4",40
"Atlántico","08",11,"0 to 10",100
"Bogotá, D. C.","11",NA,NA,NA
"Bolívar","13",11,"0 to 10",100
"Boyacá","15",NA,NA,NA
"Caldas","17",7.45933014354067,"4 to 6",60
"Caquetá","18",NA,NA,NA
"Cauca","19",NA,NA,NA
"Cesar","20",2,"9 to 1",10
"Córdoba","23",10.6666666666667,"0 to 10",100
"Cundinamarca","25",NA,NA,NA
"Chocó","27",9,"2 to 8",80
"Huila","41",10,"1 to 9",90
"La Guajira","44",5.85365853658537,"5 to 5",50
"Magdalena","47",5.41984732824427,"6 to 4",40
"Meta","50",9.39583333333333,"2 to 8",80
"Nariño","52",NA,NA,NA
"Norte De Santander","54",10,"1 to 9",90
"Quindío","63",9.28,"2 to 8",80
"Risaralda","66",9,"2 to 8",80
"Santander","68",11,"0 to 10",100
"Sucre","70",11,"0 to 10",100
"Tolima","73",11,"0 to 10",100
"Valle Del Cauca","76",NA,NA,NA
"Arauca","81",10,"1 to 9",90
"Casanare","85",9.66666666666667,"1 to 9",90
"Putumayo","86",NA,NA,NA
"Archipiélago De San Andrés, Providencia Y Santa Catalina","88",NA,NA,NA
"Amazonas","91",NA,NA,NA
"Guainía","94",NA,NA,NA
"Guaviare","95",NA,NA,NA
"Vaupés","97",NA,NA,NA
"Vichada","99",NA,NA,NA
