"Value","From","To","freq_unique"
"BN","Antioquia","Antioquia",0.836
"BC","Antioquia","Antioquia",0.836
"BN","Antioquia","Caldas",0.004
"BC","Antioquia","Caldas",0.004
"BN","Antioquia","Cesar",0.004
"BC","Antioquia","Cesar",0.004
"BN","Antioquia","Cundinamarca",0.144
"BC","Antioquia","Cundinamarca",0.144
"BN","Antioquia","Magdalena",0.012
"BC","Antioquia","Magdalena",0.012
"BN","Cesar","Antioquia",1
"BC","Cesar","Antioquia",1
"BN","Chocó","Antioquia",1
"BC","Chocó","Antioquia",1
"BN","La Guajira","Antioquia",0.428571428571429
"BC","La Guajira","Antioquia",0.428571428571429
"BN","La Guajira","La Guajira",0.528571428571429
"BC","La Guajira","La Guajira",0.528571428571429
"BN","La Guajira","Magdalena",0.0428571428571429
"BC","La Guajira","Magdalena",0.0428571428571429
"BN","Magdalena","Antioquia",0.5
"BC","Magdalena","Antioquia",0.5
"BN","Magdalena","La Guajira",0.0833333333333333
"BC","Magdalena","La Guajira",0.0833333333333333
"BN","Magdalena","Magdalena",0.416666666666667
"BC","Magdalena","Magdalena",0.416666666666667
"PN","Antioquia","Antioquia",1
"PC","Antioquia","Antioquia",1
"PN","Arauca","Arauca",0.891489361702128
"PC","Arauca","Arauca",0.891489361702128
"PN","Casanare","Arauca",0.0414893617021277
"PC","Casanare","Arauca",0.0414893617021277
"PN","Guaviare","Arauca",0.00638297872340425
"PC","Guaviare","Arauca",0.00638297872340425
"PN","Meta","Arauca",0.0319148936170213
"PC","Meta","Arauca",0.0319148936170213
"PN","Norte De Santander","Arauca",0.0127659574468085
"PC","Norte De Santander","Arauca",0.0127659574468085
"PN","Santander","Arauca",0.00638297872340425
"PC","Santander","Arauca",0.00638297872340425
"PN","Venezuela","Arauca",0.00319148936170213
"PC","Venezuela","Arauca",0.00319148936170213
"PN","Vichada","Arauca",0.00638297872340425
"PC","Vichada","Arauca",0.00638297872340425
"PN","Caldas","Caldas",0.667857142857143
"PC","Caldas","Caldas",0.667857142857143
"PN","Quindío","Caldas",0.117857142857143
"PC","Quindío","Caldas",0.117857142857143
"PN","Risaralda","Caldas",0.192857142857143
"PC","Risaralda","Caldas",0.192857142857143
"PN","Valle Del Cauca","Caldas",0.0214285714285714
"PC","Valle Del Cauca","Caldas",0.0214285714285714
"PN","Casanare","Casanare",1
"PC","Casanare","Casanare",1
"PN","Cauca","Cauca",0.85
"PC","Cauca","Cauca",0.85
"PN","Nariño","Cauca",0.05
"PC","Nariño","Cauca",0.05
"PN","Valle Del Cauca","Cauca",0.1
"PC","Valle Del Cauca","Cauca",0.1
"PN","Chocó","Chocó",1
"PC","Chocó","Chocó",1
"PN","Antioquia","Huila",0.0162162162162162
"PC","Antioquia","Huila",0.0162162162162162
"PN","Arauca","Huila",0.0162162162162162
"PC","Arauca","Huila",0.0162162162162162
"PN","Caldas","Huila",0.0162162162162162
"PC","Caldas","Huila",0.0162162162162162
"PN","Caqueta","Huila",0.0162162162162162
"PC","Caqueta","Huila",0.0162162162162162
"PN","Casanare","Huila",0.0162162162162162
"PC","Casanare","Huila",0.0162162162162162
"PN","Cesar","Huila",0.0162162162162162
"PC","Cesar","Huila",0.0162162162162162
"PN","Cundinamarca","Huila",0.0162162162162162
"PC","Cundinamarca","Huila",0.0162162162162162
"PN","Huila","Huila",0.543243243243243
"PC","Huila","Huila",0.543243243243243
"PN","Meta","Huila",0.0432432432432432
"PC","Meta","Huila",0.0432432432432432
"PN","Nariño","Huila",0.0162162162162162
"PC","Nariño","Huila",0.0162162162162162
"PN","Putumayo","Huila",0.0243243243243243
"PC","Putumayo","Huila",0.0243243243243243
"PN","Quindío","Huila",0.137837837837838
"PC","Quindío","Huila",0.137837837837838
"PN","Risaralda","Huila",0.072972972972973
"PC","Risaralda","Huila",0.072972972972973
"PN","Tolima","Huila",0.0486486486486487
"PC","Tolima","Huila",0.0486486486486487
"PN","La Guajira","La Guajira",0.4
"PC","La Guajira","La Guajira",0.4
"PN","Magdalena","La Guajira",0.6
"PC","Magdalena","La Guajira",0.6
"PN","Magdalena","Magdalena",1
"PC","Magdalena","Magdalena",1
"PN","Arauca","Meta",0.00682438580527752
"PC","Arauca","Meta",0.00682438580527752
"PN","Casanare","Meta",0.00682438580527752
"PC","Casanare","Meta",0.00682438580527752
"PN","Huila","Meta",0.00181983621474067
"PC","Huila","Meta",0.00181983621474067
"PN","Magdalena","Meta",0.089171974522293
"PC","Magdalena","Meta",0.089171974522293
"PN","Meta","Meta",0.884895359417652
"PC","Meta","Meta",0.884895359417652
"PN","Quindío","Meta",0.00181983621474067
"PC","Quindío","Meta",0.00181983621474067
"PN","Tolima","Meta",0.0086442220200182
"PC","Tolima","Meta",0.0086442220200182
"PN","Antioquia","Nariño",0.0138888888888889
"PC","Antioquia","Nariño",0.0138888888888889
"PN","Arauca","Nariño",0.00138888888888889
"PC","Arauca","Nariño",0.00138888888888889
"PN","Caldas","Nariño",0.0152777777777778
"PC","Caldas","Nariño",0.0152777777777778
"PN","Casanare","Nariño",0.0194444444444444
"PC","Casanare","Nariño",0.0194444444444444
"PN","Cauca","Nariño",0.0916666666666667
"PC","Cauca","Nariño",0.0916666666666667
"PN","Cesar","Nariño",0.00694444444444444
"PC","Cesar","Nariño",0.00694444444444444
"PN","Guaviare","Nariño",0.00138888888888889
"PC","Guaviare","Nariño",0.00138888888888889
"PN","Huila","Nariño",0.0208333333333333
"PC","Huila","Nariño",0.0208333333333333
"PN","Nariño","Nariño",0.743055555555556
"PC","Nariño","Nariño",0.743055555555556
"PN","Norte De Santander","Nariño",0.00833333333333333
"PC","Norte De Santander","Nariño",0.00833333333333333
"PN","Putumayo","Nariño",0.0111111111111111
"PC","Putumayo","Nariño",0.0111111111111111
"PN","Quindío","Nariño",0.0458333333333333
"PC","Quindío","Nariño",0.0458333333333333
"PN","Risaralda","Nariño",0.0166666666666667
"PC","Risaralda","Nariño",0.0166666666666667
"PN","Tolima","Nariño",0.00138888888888889
"PC","Tolima","Nariño",0.00138888888888889
"PN","Valle Del Cauca","Nariño",0.00277777777777778
"PC","Valle Del Cauca","Nariño",0.00277777777777778
"PN","Arauca","Norte De Santander",1
