"","crop","survey_location","general_survey","question_in_english","question_in_spanish","question_number","expert_ID","expert_in","Add_parameters_spanish","Add_parameters_english","id_depto","numeric_answer","round_num_answer","answer_in_spanish","answer_in_english","weights"
"1","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"2","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"3","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"4","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"5","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"6","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN1","La Guajira",NA,NA,"44","1,3,5,8","1,3,5,8","Control Químico,Control Cultural,Manejo Integrado de Plagas y Enfermedades,Educación y Capacitación","Chemical Control,Cultural Control,Integrated Pest and Disease Management,Education and Training",6
"7","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN2","La Guajira",NA,NA,"44","1,2,3,4,5,6,7","1,2,3,4,5,6,7","Control Químico,Control Biológico,Control Cultural,Control Físico,Manejo Integrado de Plagas y Enfermedades,Medidas de Bioseguridad,Monitoreo y Reporte","Chemical Control,Biological Control,Cultural Control,Physical Control,Integrated Pest and Disease Management,Biosecurity Measures,Monitoring and Reporting",4
"8","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN2","La Guajira",NA,NA,"44","1,2,3,4,5,6,7","1,2,3,4,5,6,7","Control Químico,Control Biológico,Control Cultural,Control Físico,Manejo Integrado de Plagas y Enfermedades,Medidas de Bioseguridad,Monitoreo y Reporte","Chemical Control,Biological Control,Cultural Control,Physical Control,Integrated Pest and Disease Management,Biosecurity Measures,Monitoring and Reporting",4
"9","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN2","La Guajira",NA,NA,"44","1,2,3,4,5,6,7","1,2,3,4,5,6,7","Control Químico,Control Biológico,Control Cultural,Control Físico,Manejo Integrado de Plagas y Enfermedades,Medidas de Bioseguridad,Monitoreo y Reporte","Chemical Control,Biological Control,Cultural Control,Physical Control,Integrated Pest and Disease Management,Biosecurity Measures,Monitoring and Reporting",4
"10","Banana","Santa Marta - Magdalena","TRUE","What are the current practices for pest and disease management that banana producers are implementing in your areas of expertise?","¿Cuáles son las prácticas actuales de manejo de plagas y enfermedades que los productores de banano están implementando en sus lugares en donde usted es experto? ",15,"NN2","La Guajira",NA,NA,"44","1,2,3,4,5,6,7","1,2,3,4,5,6,7","Control Químico,Control Biológico,Control Cultural,Control Físico,Manejo Integrado de Plagas y Enfermedades,Medidas de Bioseguridad,Monitoreo y Reporte","Chemical Control,Biological Control,Cultural Control,Physical Control,Integrated Pest and Disease Management,Biosecurity Measures,Monitoring and Reporting",4
